,Header,Price,Link,Content
89,Free Bunk Bed and Study Table,$0,https://sfbay.craigslist.org/sby/bab/d/san-jose-free-bunk-bed-and-study-table/7029388186.html,Nov 29 Free Bunk Bed and Study Table $0 (san jose west)
90,"Schwinn Paramount frame and fork, 58cm, 1972 P-15 full chrome",$800,https://sfbay.craigslist.org/sby/bik/d/mountain-view-schwinn-paramount-frame/7024137695.html,"$800
Nov 29 Schwinn Paramount frame and fork, 58cm, 1972 P-15 full chrome $800 (mountain view)"
91,Astrology Tarot Card Adviser,$35,https://sfbay.craigslist.org/eby/fuo/d/union-city-astrology-tarot-card-adviser/7029383353.html,"$35
Nov 29 Astrology Tarot Card Adviser $35 (fremont / union city / newark)"
92,2x 255/35/18 Pirelli Pzero nero A/S tires,$135,https://sfbay.craigslist.org/eby/wto/d/2x-pirelli-pzero-nero-s-tires/7025302757.html,"$135
Nov 29 2x 255/35/18 Pirelli Pzero nero A/S tires $135 (fremont)"
93,1x Firestone 245/40/18 Firehawk Indy500,$50,https://sfbay.craigslist.org/eby/wto/d/fremont-1x-firestone-firehawk-indy500/7020539496.html,"$50
Nov 29 1x Firestone 245/40/18 Firehawk Indy500 $50 (Fremont)"
94,Ascend Acoustics Sierra 2 LCR Set of 3,$1500,https://sfbay.craigslist.org/sfc/ele/d/san-francisco-ascend-acoustics-sierra-2/7027300743.html,"$1500
Nov 29 Ascend Acoustics Sierra 2 LCR Set of 3 $1500 (sunset / parkside)"
95,IPhone 8 Plus 64G Gold Unlocked Excellent condition + Warranty,$450,https://sfbay.craigslist.org/sby/mob/d/santa-clara-iphone-8-plus-64g-gold/7029386415.html,"$450
Nov 29 IPhone 8 Plus 64G Gold Unlocked Excellent condition + Warranty $450 (santa clara)"
96,Macbook air 2019 model 13 inch Brand new Sealed + Warranty,$1100,https://sfbay.craigslist.org/sby/sys/d/santa-clara-macbook-air-2019-model-13/7029385503.html,"$1100
Nov 29 Macbook air 2019 model 13 inch Brand new Sealed + Warranty $1100 (santa clara)"
97,Mustang transmission,$100,https://sfbay.craigslist.org/eby/pts/d/alameda-mustang-transmission/7029387873.html,Nov 29 Mustang transmission $100 (alameda)
98,Pilates exercise equipment,$80,https://sfbay.craigslist.org/eby/for/d/tracy-pilates-exercise-equipment/7026019124.html,"$80
Nov 29 Pilates exercise equipment $80 (danville / san ramon)"
99,1991 Nissan 240sx parts,$91,https://sfbay.craigslist.org/eby/pts/d/pittsburg-1991-nissan-240sx-parts/7029388065.html,"$91
Nov 29 1991 Nissan 240sx parts $91 (concord / pleasant hill / martinez)"
100,"GE Profile Professional 30"" Range Hood JV936DSS",$350,https://sfbay.craigslist.org/sby/app/d/san-jose-ge-profile-professional-30/7029388051.html,"Nov 29 GE Profile Professional 30"" Range Hood JV936DSS $350 (willow glen / cambrian)"
101,"2016 Lexus RX 350 With Just 25,000 Miles - Luxury Pkge (1 Owner) RX350",$33900,https://sfbay.craigslist.org/eby/cto/d/walnut-creek-2016-lexus-rx-350-with/7029388546.html,"$33900
Nov 29 2016 Lexus RX 350 With Just 25,000 Miles - Luxury Pkge (1 Owner) RX350 $33900 (walnut creek)"
102,Collings OM Short Scale,$3900,https://sfbay.craigslist.org/eby/msg/d/davis-collings-om-short-scale/7028350843.html,"$3900
Nov 29 Collings OM Short Scale $3900 (Davis)"
103,Pottery Barn Coffee Table and Side Table SOLID WOOD,$250,https://sfbay.craigslist.org/sby/fuo/d/san-jose-pottery-barn-coffee-table-and/7029388022.html,Nov 29 Pottery Barn Coffee Table and Side Table SOLID WOOD $250 (willow glen / cambrian)
104,2x 235/35/20 Michelin Pilot Sport matching spec tires,$125,https://sfbay.craigslist.org/eby/wto/d/fremont-2x-michelin-pilot-sport/7029388020.html,"$125
Nov 29 2x 235/35/20 Michelin Pilot Sport matching spec tires $125 (Fremont)"
105,25 bumgenius freetime cloth diapers,$300,https://sfbay.craigslist.org/eby/bab/d/hayward-25-bumgenius-freetime-cloth/7029388013.html,"$300
Nov 29 25 bumgenius freetime cloth diapers $300 (hayward / castro valley)"
106,Graco Snugrider Elite Infant Car Seat Frame,$40,https://sfbay.craigslist.org/pen/bab/d/half-moon-bay-graco-snugrider-elite/7029387979.html,"$40
Nov 29 Graco Snugrider Elite Infant Car Seat Frame $40 (half moon bay)"
107,xbox360 + kinect + 4 games + 2 controllers,$75,https://sfbay.craigslist.org/pen/ele/d/belmont-xbox360-kinect-4-games-2/7028104133.html,"$75
Nov 29 xbox360 + kinect + 4 games + 2 controllers $75 (belmont)"
108,2 happy flute extreme heavy wetter cloth diapers,$20,https://sfbay.craigslist.org/eby/bab/d/hayward-2-happy-flute-extreme-heavy/7029387956.html,"$20
Nov 29 2 happy flute extreme heavy wetter cloth diapers $20 (hayward / castro valley)"
109,2017 Cannondale Habit 2 Carbon Size Large,$2100,https://sfbay.craigslist.org/eby/bik/d/oakland-2017-cannondale-habit-2-carbon/7029387933.html,"$2100
Nov 29 2017 Cannondale Habit 2 Carbon Size Large $2100 (oakland hills / mills)"
110,4 Grovia one cloth diapers,$60,https://sfbay.craigslist.org/eby/bab/d/hayward-4-grovia-one-cloth-diapers/7029387915.html,"$60
Nov 29 4 Grovia one cloth diapers $60 (hayward / castro valley)"
111,DFX Sports Fitness Ball,$10,https://sfbay.craigslist.org/sby/spo/d/san-jose-dfx-sports-fitness-ball/7029387705.html,"$10
Nov 29 DFX Sports Fitness Ball $10 (san jose north)"
112,AutoPilot 4000W High Power HID Master Lighting Controller | APCL4DX,$40,https://sfbay.craigslist.org/eby/grd/d/hercules-autopilot-4000w-high-power-hid/7019052608.html,"$40
Nov 29 AutoPilot 4000W High Power HID Master Lighting Controller | APCL4DX $40 (hercules, pinole, san pablo, el sob)"
113,Ski Racks - I have the SKI RACKS for you.,$40,https://sfbay.craigslist.org/sby/spo/d/santa-clara-ski-racks-have-the-ski/7029387809.html,"$40
Nov 29 Ski Racks - I have the SKI RACKS for you. $40 (san jose west)"
114,Calvin Klein new laptop rolling bag,$45,https://sfbay.craigslist.org/sby/hsh/d/sunnyvale-calvin-klein-new-laptop/7029387805.html,"$45
Nov 29 Calvin Klein new laptop rolling bag $45 (sunnyvale)"
115,AutoPilot 4000W High Power HID Master Lighting Controller | APCL4DX,$40,https://sfbay.craigslist.org/eby/ele/d/hercules-autopilot-4000w-high-power-hid/7019052176.html,"$40
Nov 29 AutoPilot 4000W High Power HID Master Lighting Controller | APCL4DX $40 (hercules, pinole, san pablo, el sob)"
116,Graco Car Seat Snugride 35LX with base,$60,https://sfbay.craigslist.org/pen/bab/d/half-moon-bay-graco-car-seat-snugride/7029387797.html,"$60
Nov 29 Graco Car Seat Snugride 35LX with base $60 (half moon bay)"
117,LTL Master 8 - HID Lighting Hydroponic Ballast Relay Controller,$60,https://sfbay.craigslist.org/eby/grd/d/hercules-ltl-master-8-hid-lighting/7019052264.html,"$60
Nov 29 LTL Master 8 - HID Lighting Hydroponic Ballast Relay Controller $60 (hercules, pinole, san pablo, el sob)"
118,Ottoman,$35,https://sfbay.craigslist.org/sby/fuo/d/sunnyvale-ottoman/7029387779.html,"$35
Nov 29 Ottoman $35 (sunnyvale)"
119,LTL Master 8 - HID Lighting Hydroponic Ballast Relay Controller,$60,https://sfbay.craigslist.org/eby/ele/d/hercules-ltl-master-8-hid-lighting/7028372933.html,"$60
Nov 29 LTL Master 8 - HID Lighting Hydroponic Ballast Relay Controller $60 (hercules, pinole, san pablo, el sob)"
